[2024-03-12 18:45:32,282] INFO [ProducerStateManager partition=__consumer_offsets-4]Wrote producer snapshot at offset 3074 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-03-12 18:45:32,297] INFO Shutdown complete. (kafka.log.LogManager)
[2024-03-12 18:45:32,301] INFO [feature-zk-node-event-process-thread]: Shutting down (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2024-03-12 18:45:32,301] INFO [feature-zk-node-event-process-thread]: Stopped (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2024-03-12 18:45:32,301] INFO [feature-zk-node-event-process-thread]: Shutdown completed (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2024-03-12 18:45:32,301] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2024-03-12 18:45:32,405] INFO Session: 0x100001bf4e80000 closed (org.apache.zookeeper.ZooKeeper)
[2024-03-12 18:45:32,405] INFO EventThread shut down for session: 0x100001bf4e80000 (org.apache.zookeeper.ClientCnxn)
[2024-03-12 18:45:32,406] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2024-03-12 18:45:32,406] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,408] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,408] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,408] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,409] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,409] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,409] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,409] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,409] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,409] INFO [ThrottledChannelReaper-ControllerMutation]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,409] INFO [ThrottledChannelReaper-ControllerMutation]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,409] INFO [ThrottledChannelReaper-ControllerMutation]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-03-12 18:45:32,410] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutting down socket server (kafka.network.SocketServer)
[2024-03-12 18:45:32,426] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutdown completed (kafka.network.SocketServer)
[2024-03-12 18:45:32,427] INFO Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics)
[2024-03-12 18:45:32,427] INFO Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics)
[2024-03-12 18:45:32,427] INFO Metrics reporters closed (org.apache.kafka.common.metrics.Metrics)
[2024-03-12 18:45:32,427] INFO Broker and topic stats closed (kafka.server.BrokerTopicStats)
[2024-03-12 18:45:32,428] INFO App info kafka.server for 0 unregistered (org.apache.kafka.common.utils.AppInfoParser)
[2024-03-12 18:45:32,428] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
